"filename", "language", "JavaScript", "JSON", "SCSS", "XML", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Project2.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 3, 100
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Project3.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 3, 92
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Project4.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 2, 107
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Project5.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 3, 204
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Roadmap.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 2, 8, 150
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Services.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Services2.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Slider.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 2, 6, 101
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Team.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 3, 124
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Testimonial.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Testimonial2.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Video.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Video2.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/components/sections/Vision.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 2, 29
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 4, 4, 0, 8
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/next.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/package-lock.json", "JSON", 0, 4778, 0, 0, 0, 0, 0, 0, 1, 4779
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/package.json", "JSON", 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/404.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/_app.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/_document.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/blog-details.js", "JavaScript", 267, 0, 0, 0, 0, 0, 0, 0, 3, 270
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/blog-list.js", "JavaScript", 177, 0, 0, 0, 0, 0, 0, 0, 4, 181
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/blog-sidebar.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 3, 107
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/blog.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/blog/[id].js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 0, 11, 291
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/contact.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 5, 121
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/faq.js", "JavaScript", 133, 0, 0, 0, 0, 0, 0, 0, 4, 137
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-2.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-3.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-4.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/macbookpro/Desktop/Reland-nextjs-v1.0.0-unzip-first/1.Reland-Nextjs/pages/index-5.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
